(178, 205, 257, 153, 74, 47, 63, 47)
(183, 214, 258, 144, 68, 46, 64, 49)
(193, 233, 274, 129, 70, 46, 57, 50)
(165, 233, 296, 97, 60, 44, 56, 51)
(153, 222, 352, 87, 59, 40, 44, 48)
(146, 229, 371, 100, 58, 36, 40, 51)
(143, 204, 377, 128, 70, 41, 51, 51)
(147, 168, 364, 135, 72, 41, 50, 52)
(161, 193, 359, 135, 74, 43, 47, 52)
(146, 184, 235, 135, 69, 42, 74, 52)
(146, 184, 215, 130, 67, 41, 75, 43)
(139, 188, 207, 106, 60, 49, 70, 42)
(131, 189, 249, 104, 57, 50, 72, 44)
(108, 213, 275, 102, 58, 87, 78, 46)
(112, 226, 278, 99, 59, 136, 60, 47)
(159, 317, 343, 89, 119, 264, 92, 90)
(168, 422, 425, 87, 119, 270, 133, 95)
(163, 431, 425, 78, 118, 273, 138, 94)
(153, 408, 415, 86, 121, 272, 135, 95)
(150, 403, 418, 85, 122, 258, 136, 96)
(89, 348, 386, 95, 80, 163, 123, 58)
(75, 273, 361, 95, 74, 155, 81, 49)
(63, 284, 475, 113, 75, 198, 73, 44)
(61, 285, 553, 116, 70, 188, 73, 41)
(54, 286, 582, 128, 68, 181, 68, 35)
(55, 266, 576, 123, 48, 150, 52, 33)
(39, 202, 569, 159, 53, 149, 42, 31)
(41, 182, 604, 147, 50, 74, 37, 32)
(35, 196, 569, 144, 44, 68, 42, 35)
(37, 199, 585, 154, 59, 63, 43, 39)
(40, 240, 667, 189, 70, 51, 41, 37)
(53, 248, 821, 473, 149, 59, 48, 41)
(61, 344, 855, 516, 169, 59, 48, 41)
(65, 328, 934, 563, 183, 59, 42, 39)
(79, 434, 942, 576, 187, 60, 40, 43)
(114, 450, 895, 609, 218, 72, 72, 106)
(189, 478, 832, 435, 181, 64, 80, 133)
(324, 493, 784, 394, 163, 67, 83, 145)
(536, 604, 664, 330, 160, 97, 113, 209)
(675, 553, 621, 329, 163, 103, 134, 271)
(819, 563, 597, 296, 137, 124, 183, 309)
(837, 554, 451, 368, 183, 148, 200, 325)
(905, 575, 299, 415, 190, 147, 263, 392)
(940, 496, 301, 465, 210, 141, 525, 510)
(992, 479, 288, 565, 231, 154, 686, 556)
(1079, 448, 291, 544, 255, 215, 797, 670)
(1261, 483, 330, 568, 246, 237, 920, 709)
(1308, 467, 318, 585, 256, 247, 952, 689)
(1248, 513, 352, 610, 254, 252, 861, 632)
(1202, 514, 357, 536, 251, 262, 754, 600)
(1216, 520, 351, 543, 220, 209, 708, 489)
(1040, 492, 311, 471, 196, 167, 549, 425)
(889, 398, 309, 434, 188, 152, 472, 412)
(845, 282, 251, 348, 175, 138, 442, 353)
(750, 265, 342, 301, 140, 92, 424, 297)
(368, 269, 374, 291, 132, 70, 270, 199)
(245, 302, 496, 275, 118, 57, 232, 171)
(207, 315, 529, 223, 96, 51, 212, 128)
(163, 324, 638, 237, 70, 33, 161, 99)
(140, 353, 691, 285, 69, 35, 122, 80)
(115, 318, 710, 293, 68, 34, 77, 65)
(91, 277, 710, 294, 78, 42, 76, 60)
(91, 291, 779, 318, 84, 45, 69, 57)
(77, 295, 802, 339, 97, 49, 61, 55)
(69, 278, 760, 295, 96, 48, 51, 51)
(72, 308, 773, 295, 92, 46, 51, 52)
(79, 340, 814, 305, 92, 44, 47, 48)
(83, 325, 774, 282, 91, 44, 46, 46)
(80, 316, 690, 230, 76, 38, 44, 45)
(80, 305, 686, 231, 79, 62, 46, 45)
(75, 295, 704, 202, 78, 73, 40, 42)
(51, 229, 641, 164, 67, 72, 38, 40)
(48, 209, 640, 164, 59, 72, 36, 39)
(44, 187, 629, 145, 51, 107, 33, 41)
(45, 180, 622, 141, 58, 229, 60, 42)
(43, 163, 645, 154, 67, 256, 63, 43)
(43, 143, 609, 169, 88, 259, 62, 39)
(40, 137, 674, 164, 89, 262, 66, 40)
(42, 148, 692, 170, 100, 269, 68, 36)
(44, 148, 685, 167, 97, 207, 52, 36)
(60, 142, 637, 181, 97, 174, 56, 52)
(67, 153, 667, 162, 78, 175, 55, 53)
(66, 187, 680, 201, 93, 177, 52, 52)
(68, 199, 679, 262, 99, 176, 58, 54)
(106, 335, 745, 321, 101, 139, 53, 60)
(128, 372, 722, 318, 99, 135, 50, 50)
(157, 427, 690, 324, 102, 130, 51, 53)
(163, 427, 558, 317, 101, 127, 53, 58)
(176, 463, 582, 274, 88, 154, 55, 57)
(182, 389, 500, 207, 83, 240, 68, 63)
(203, 389, 565, 238, 102, 244, 67, 64)
(270, 338, 602, 293, 125, 321, 92, 79)
(430, 348, 754, 304, 142, 540, 148, 147)
(619, 325, 720, 309, 149, 574, 153, 204)
(664, 324, 751, 309, 161, 569, 169, 206)
(714, 298, 716, 292, 188, 669, 194, 214)
(690, 299, 708, 238, 198, 763, 253, 227)
(606, 317, 575, 217, 218, 761, 258, 233)
(430, 366, 565, 212, 227, 791, 260, 242)
(366, 465, 538, 211, 219, 800, 252, 256)
